Gene name	Zebrafish gene name
Marc1	MARC2
Marc2	MARC2
March2	march2
March3	MARCH3
March4	march4
March5	march5
March6	march6
Fam171b	march7
March7	march7
March8	march8
March9	march9
March11	march11
Sept2	sept2
Sept2	sept2
Sept3	sept3
Sept6	sept6
Sept14	sept10
Sept10	sept10
Sept12	sept12
Selenof	sep15
n-R5-8s1	5_8S_rRNA
Gm24601	5_8S_rRNA
Gm23957	5S_rRNA
n-R5s50	5S_rRNA
n-R5s204	5S_rRNA
Gm23764	5S_rRNA
n-R5s90	5S_rRNA
n-R5s72	5S_rRNA
Gm25164	5S_rRNA
n-R5s167	5S_rRNA
n-R5s13	5S_rRNA
Gm23115	5S_rRNA
n-R5s48	5S_rRNA
n-R5s218	5S_rRNA
Gm27266	5S_rRNA
Gm23558	5S_rRNA
n-R5s157	5S_rRNA
Gm26004	5S_rRNA
Gm23997	5S_rRNA
Gm24772	5S_rRNA
n-R5s188	5S_rRNA
n-R5s200	5S_rRNA
n-R5s16	5S_rRNA
Gm23757	5S_rRNA
n-R5s64	5S_rRNA
Gm25712	5S_rRNA
Gm23806	5S_rRNA
Gm26197	5S_rRNA
Gm23782	5S_rRNA
n-R5s71	5S_rRNA
Gm23198	5S_rRNA
Gm24222	5S_rRNA
Gm23071	5S_rRNA
Gm26213	5S_rRNA
Gm23899	5S_rRNA
n-R5s34	5S_rRNA
n-R5s179	5S_rRNA
Gm27977	5S_rRNA
Gm23964	5S_rRNA
n-R5s68	5S_rRNA
n-R5s24	5S_rRNA
Gm23257	5S_rRNA
Gm25606	5S_rRNA
Gm25554	5S_rRNA
n-R5s96	5S_rRNA
n-R5s215	5S_rRNA
n-R5s166	5S_rRNA
Gm25675	5S_rRNA
Gm22135	5S_rRNA
Gm26216	5S_rRNA
n-R5s97	5S_rRNA
Gm25961	5S_rRNA
n-R5s40	5S_rRNA
n-R5s173	5S_rRNA
Gm22651	5S_rRNA
n-R5s46	5S_rRNA
Gm24647	5S_rRNA
n-R5s93	5S_rRNA
n-R5s207	5S_rRNA
n-R5s170	5S_rRNA
n-R5s5	5S_rRNA
Gm23392	5S_rRNA
n-R5s80	5S_rRNA
Gm22816	5S_rRNA
Gm23473	5S_rRNA
A1cf	a1cf
A2m	a2ml
Gm7298	a2ml
