Gene name	BMR gene name
Krt25	Krt25
Nat8f2	
Dram2	Dram2
Spindoc	Spindoc
Cd82	Cd82
Coq2	Coq2
Gm38393	
Nat8	
Smim27	Smim27
Pole4	Pole4
Nat8f1	
Gdf10	Gdf10
Upp1	Upp1
Zic5	Zic5
Mgme1	Mgme1
Stat2	Stat2
Zic2	Zic2
Luc7l	Luc7l
Ptp4a1	
Med6	Med6
H2-Aa	
Zfp451	Zfp451
Nsa2	Nsa2
Zscan29	
Nphp1	Nphp1
Fbxo38	
Lrrc14b	Lrrc14b
Slc6a18	Slc6a18
Trim58	Trim58
Smarca2	Smarca2
Gps1	Gps1
Slc44a2	Slc44a2
Olfr121	
Jak2	Jak2
Ttll11	Ttll11
Yipf4	Yipf4
Krt16	Krt16
Gprin3	Gprin3
Lmbrd2	Lmbrd2
Alx4	Alx4
Golph3l	Golph3l
Trim42	Trim42
1810024B03Rik	
Aldh3b3	
Fam135b	
Olfr801	
Dmap1	Dmap1
Rasgrf1	Rasgrf1
Srsf10	Srsf10
Ucn	Ucn
Abca4	
Ugt2b1	Ugt2b1
AW549877	AW549877
A230050P20Rik	A230050P20Rik
Cbr1	
Tespa1	Tespa1
Olfr818	
Slc25a24	
Fgl1	Fgl1
Tie1	Tie1
Brcc3	Brcc3
Ubtd2	Ubtd2
Dync2h1	Dync2h1
Olfr811	
Fbxo4	Fbxo4
Grm6	Grm6
Wnt9b	Wnt9b
Gstt4	Gstt4
Olfr779	
Trim67	Trim67
Stxbp6	Stxbp6
Prss37	Prss37
Ispd	
Catsper2	Catsper2
Dpy19l1	Dpy19l1
Zfp809	Zfp809
Sqstm1	Sqstm1
Son	
Olfr803	
Olfr812	
Rasa1	Rasa1
Stard5	Stard5
Unc50	Unc50
Aldh3b2	
Nat8f5	
Lrrc51	Lrrc51
Suds3	Suds3
Olfr776	
Coa5	Coa5
Olfr129	
Olfr1107	
Olfr785	
Alkal1	Alkal1
Ddrgk1	Ddrgk1
Olfr774	
Sectm1b	
Trpv3	Trpv3
Rab20	Rab20
Olfr806	
Snurf	
Rbm18	Rbm18
Olfr775	
Slc7a4	Slc7a4
Gm5678	
Ncapd3	Ncapd3
Prss35	Prss35
Sema3e	Sema3e
Ckm	Ckm
Olfr805	
Epgn	Epgn
Olfr122	
Olfr120	
Olfr118	
Defb14	Defb14
Prr16	Prr16
Odaph	Odaph
Arhgap24	Arhgap24
Ndufb6	Ndufb6
Plaur	Plaur
Olfr804	
Plscr5	Plscr5
Ndufa7	Ndufa7
Olfr787	
Nat8f4	
Atmin	Atmin
H2-Ab1	
Olfr259	
Olfr1110	
Gm3854	Gm3854
Gm13539	Gm13539
Crisp4	
Olfr119	
Ttc39c	Ttc39c
Cntn1	Cntn1
Arsb	Arsb
Bambi	Bambi
Guca2a	Guca2a
Olfr784	
Olfr1109	
Rerg	Rerg
1700057G04Rik	1700057G04Rik
Gcsh	Gcsh
Olfr782	
Sectm1a	
St8sia4	St8sia4
Rnf123	Rnf123
Mybpc3	Mybpc3
Ighv5-16	
Guca2b	Guca2b
Mdh1b	Mdh1b
Gjb6	Gjb6
Uchl3	
Rnf130	Rnf130
Rbak	Rbak
Cabp7	Cabp7
Kcnn4	Kcnn4
Slc5a6	Slc5a6
Srr	Srr
Amy2a5	
Fibp	Fibp
Hnrnpa2b1	
Aldh3a1	Aldh3a1
4930550C14Rik	4930550C14Rik
