Gene name	Golden Hamster gene name
mt-Nd1	ND1
mt-Nd2	ND2
mt-Co1	COX1
mt-Co2	COX2
mt-Atp8	ATP8
mt-Atp6	ATP6
mt-Co3	COX3
mt-Nd3	ND3
mt-Nd4l	ND4L
mt-Nd4	ND4
mt-Nd5	ND5
mt-Nd6	ND6
mt-Cytb	CYTB
Hyal4	Hyal4
Prps1l1	Prps1l1
Vmn1r72	
Cyp7b1	Cyp7b1
Wnt16	Wnt16
Npas1	Npas1
Zfy1	
Cldn11	Cldn11
Hdac2	Hdac2
Dnase1l2	Dnase1l2
Cdc42ep5	Cdc42ep5
Fam110c	Fam110c
Ntsr2	Ntsr2
Tpp2	Tpp2
Eloc	
Ppp1r42	Ppp1r42
Chadl	
Spam1	Spam1
Vmn1r73	
Bcl11a	Bcl11a
Cep68	Cep68
L3mbtl2	L3mbtl2
3110035E14Rik	3110035E14Rik
Adhfe1	Adhfe1
Tcf24	Tcf24
Impdh1	Impdh1
Paqr8	Paqr8
Fam49a	Fam49a
Ppp1r14c	Ppp1r14c
Rnf215	ENSMAUG00000016671
Pcdh18	Pcdh18
Arhgap35	Arhgap35
Hist1h4k	
Ighv8-6	
Gemin6	
Iyd	Iyd
Zswim7	Zswim7
Gm8300	ENSMAUG00000019719
Ppp2cb	ENSMAUG00000018928
Ppp2cb	ENSMAUG00000019148
Sertad1	Sertad1
Ddx25	Ddx25
Trav12d-3	
Olfr834	
Ascl1	Ascl1
G6pd2	ENSMAUG00000008547
Dpy19l2	Dpy19l2
Cd48	Cd48
Lcn2	Lcn2
Prdm4	Prdm4
4930433I11Rik	ENSMAUG00000016920
Olfr478	ENSMAUG00000022151
Pigo	Pigo
Swap70	Swap70
Pdcd5	
Pycr1	Pycr1
Ubxn8	Ubxn8
Trim34b	ENSMAUG00000001228
Fam19a1	Fam19a1
Gp1ba	
Ccdc157	Ccdc157
Trav13d-2	
Dok6	Dok6
Spink5	Spink5
Vps4a	Vps4a
Ppm1k	Ppm1k
Itga10	Itga10
Map7d1	ENSMAUG00000016543
Hecw2	Hecw2
Tnni1	Tnni1
Mgat4b	Mgat4b
Myo1d	Myo1d
Hyal5	Hyal5
Ints12	ENSMAUG00000015392
Rplp2	Rplp2
AL773585.4	
Eml2	Eml2
1700123L14Rik	
Mblac2	Mblac2
Map3k14	Map3k14
Kcnj11	Kcnj11
Vars2	Vars2
Smim20	Smim20
Tbc1d9	Tbc1d9
Herc6	Herc6
Tigd5	Tigd5
Hrc	ENSMAUG00000018949
Ppib	Ppib
Gstcd	Gstcd
Dmkn	ENSMAUG00000010359
Tmem229a	Tmem229a
Tmem60	Tmem60
Tfeb	Tfeb
Ptprn2	
Fam3c	Fam3c
Gramd1b	Gramd1b
Morc2a	Morc2a
Tas2r125	
Pdf	
Cdcp2	Cdcp2
Zfp707	Zfp707
Snx22	Snx22
Efhc1	Efhc1
Gadd45g	Gadd45g
Ube2u	
Cog8	ENSMAUG00000003594
Wdr81	Wdr81
Pex11b	ENSMAUG00000013080
Poldip2	Poldip2
Stard3	Stard3
Majin	Majin
Dmp1	Dmp1
Chd7	Chd7
Fam193a	Fam193a
Nup88	Nup88
CT571245.2	ENSMAUG00000014218
Dhrs7	Dhrs7
Ypel3	Ypel3
Slc7a14	ENSMAUG00000000165
Ccdc60	Ccdc60
Spen	Spen
Arhgef33	Arhgef33
Rnf167	Rnf167
Kdm5d	
Rmdn1	Rmdn1
Nr0b2	Nr0b2
Prokr2	Prokr2
Tas2r129	
Pax6	Pax6
Prx	Prx
Gpr37	Gpr37
Tas2r131	
Tas2r109	
Slc1a4	Slc1a4
Otud4	Otud4
Gm42957	ENSMAUG00000013080
Tmprss15	Tmprss15
Tas2r103	
Wwp1	Wwp1
Gsk3b	Gsk3b
Fcrl1	Fcrl1
Phf14	Phf14
Hist1h2ak	ENSMAUG00000017934
Spic	
Clec4n	Clec4n
Bsg	Bsg
Crlf2	
Setd4	Setd4
Ccdc97	Ccdc97
Zfp637	Zfp637
Ambra1	Ambra1
Mmp24	Mmp24
Kank4	Kank4
Tram2	Tram2
Crisp1	ENSMAUG00000009650
Olfr231	Olfr231
Ifna7	ENSMAUG00000004733
Arf6	
Zbtb17	Zbtb17
Pkp4	Pkp4
Slc25a11	Slc25a11
Olfr835	
Mrpl32	Mrpl32
BC029722	
Entpd4b	ENSMAUG00000012065
Celf6	ENSMAUG00000012641
Celf6	ENSMAUG00000015364
Trdmt1	Trdmt1
F13b	F13b
Olfr424	
Miox	Miox
Olfr1261	
Ighv1-54	ENSMAUG00000005010
Cetn3	Cetn3
Srcin1	Srcin1
Fam71b	Fam71b
Hk2	Hk2
Ptbp3	Ptbp3
Kctd6	Kctd6
Ibsp	Ibsp
Ngrn	Ngrn
Acmsd	Acmsd
Aldh1a2	Aldh1a2
Lias	Lias
Exosc10	Exosc10
Adgrg3	Adgrg3
Srp54a	ENSMAUG00000014447
Cnot2	Cnot2
Map3k5	Map3k5
Cyp4v3	Cyp4v3
Mkln1	Mkln1
Ifna11	ENSMAUG00000004733
Vps33b	Vps33b
Zfp775	Zfp775
Ifna6	ENSMAUG00000004733
Loxl2	Loxl2
Pfn1	ENSMAUG00000007327
Pfn1	ENSMAUG00000013310
Slamf1	Slamf1
Repin1	Repin1
Ifna5	ENSMAUG00000004733
Gzmc	ENSMAUG00000010592
Gzmc	ENSMAUG00000015991
Musk	Musk
Gm45871	
Lrrcc1	Lrrcc1
Klkb1	Klkb1
Tas2r135	
Fsd2	Fsd2
Ikbke	Ikbke
Anks1	Anks1
Dbnl	Dbnl
Rabl6	Rabl6
Hist1h2ba	ENSMAUG00000018461
Hist1h2ba	ENSMAUG00000001528
Snx1	Snx1
Esrrb	Esrrb
Dctn5	Dctn5
Zmiz2	
Hist1h1b	
Ssr2	Ssr2
Psma2	Psma2
Tmem119	Tmem119
Tmem144	Tmem144
Smim26	Smim26
Il12a	Il12a
Tgif2lx2	
Thbs1	Thbs1
Ano2	Ano2
Tgif2lx1	
Fbxo10	Fbxo10
Olfr779	
Dtd1	ENSMAUG00000021240
Adora2a	Adora2a
Trhde	ENSMAUG00000001068
Brs3	Brs3
Gabrq	Gabrq
H13	H13
Pura	Pura
Pth2r	Pth2r
Mepe	Mepe
AW209491	AW209491
Tbl1x	Tbl1x
Hhipl2	Hhipl2
Selenop	ENSMAUG00000015154
Ppp2r5b	Ppp2r5b
Tas2r126	Tas2r126
Med7	Med7
Hist1h2aa	Hist1h2aa
Sh3bp4	Sh3bp4
Kars	
H1fx	H1fx
Ces2e	Ces2e
Tmem141	Tmem141
Rab7	Rab7
Spata31d1a	
Scgn	Scgn
Elavl4	Elavl4
Eif3j1	ENSMAUG00000019190
Fam159b	Fam159b
Fut8	Fut8
Igip	Igip
Ccdc166	ENSMAUG00000017254
Nlrp12	
Dmrtc1a	Dmrtc1a
Olfr836	
Cystm1	Cystm1
Polr1e	Polr1e
Rsbn1l	Rsbn1l
Dcaf15	Dcaf15
Adck5	Adck5
Abcc5	Abcc5
Cirbp	CIRP
Fbln1	Fbln1
Spg11	Spg11
Cep295	
Gpha2	Gpha2
Htatsf1	Htatsf1
Col4a3bp	Col4a3bp
Arhgef1	ENSMAUG00000013887
Entpd1	Entpd1
Gsr	ENSMAUG00000013110
Rabep1	Rabep1
Stk36	ENSMAUG00000018220
Stk36	ENSMAUG00000009866
Hipk4	Hipk4
Vps16	Vps16
Stxbp5	Stxbp5
Arl5b	Arl5b
Olfr780	Olfr780
Mapk15	Mapk15
Tram1l1	Tram1l1
Plekhg1	ENSMAUG00000011570
Adgrl2	Adgrl2
Vsig4	Vsig4
Snx10	Snx10
Gm4884	ENSMAUG00000016920
Olfr420	Olfr420
Gucy1a2	Gucy1a2
Sp6	Sp6
Oog1	
Ccdc183	Ccdc183
Olfr782	
Stam2	Stam2
D11Wsu47e	ENSMAUG00000017201
Cd84	Cd84
Eci2	Eci2
Atp5g3	Atp5g3
Nsun6	Nsun6
Serf1	Serf1
Fam19a4	Fam19a4
Ces2f	
Myadml2	ENSMAUG00000010009
Acat1	Acat1
Dscaml1	Dscaml1
Lamb1	Lamb1
Notum	Notum
Pip5k1a	
Agk	Agk
Hdac5	Hdac5
Ifna1	ENSMAUG00000004733
Olfr480	
Gcom1	
Myzap	Myzap
Tbx6	Tbx6
Pced1a	ENSMAUG00000021075
Tlcd2	Tlcd2
Trpc7	Trpc7
Slc2a6	Slc2a6
Podnl1	Podnl1
Fam198b	Fam198b
Gm1661	Gm1661
Fam83c	Fam83c
Lsm2	Lsm2
Ccdc169	Ccdc169
Hsp90aa1	
Ehd3	Ehd3
Arap2	Arap2
Pigl	Pigl
Snx13	Snx13
Afap1l2	Afap1l2
Gbp3	
Pot1a	Pot1a
Sema3d	Sema3d
Taf1d	Taf1d
Ubr1	Ubr1
Eif6	Eif6
Tcap	Tcap
Magi3	Magi3
Polr2m	Polr2m
Ttc19	Ttc19
Armc1	Armc1
Lsm3	ENSMAUG00000012931
Tmem53	Tmem53
