Gene name	Chicken gene name
March1	MARCH1
March2	MARCH2
March3	MARCH3
March4	MARCH4
March5	MARCH5
March6	MARCH6
March7	MARCH7
March8	MARCH8
March11	MARCH11
Sept2	SEPT2
Sept2	SEPT2
Sept3	SEPT3
Sept5	SEPT5
Sept6	SEPT6
Sept7	SEPT7
Sept8	SEPT8
Sept9	SEPT9
Sept11	SEPT11
n-R5-8s1	5_8S_rRNA
Tdg	5-MCDG
Gm24747	5S_rRNA
Gm25966	5S_rRNA
Gm27781	5S_rRNA
Gm25553	5S_rRNA
Gm23662	5S_rRNA
Gm23757	5S_rRNA
Gm22790	5S_rRNA
n-R5s71	5S_rRNA
n-R5s28	5S_rRNA
Gm27977	5S_rRNA
n-R5s98	5S_rRNA
Gm25675	5S_rRNA
Gm24860	7SK
Gm22025	7SK
Gm23007	7SK
Gm25505	7SK
Gm22202	7SK
Gm24383	7SK
Gm23085	7SK
Gm22198	7SK
Gm22160	7SK
Gm24545	7SK
A1cf	A1CF
A4galt	A4GALT
A4gnt	A4GNT
Aaas	AAAS
Aacs	AACS
Aadat	AADAT
Aagab	AAGAB
Aak1	AAK1
Aamdc	AAMDC
Aamp	AAMP
Aanat	AANAT
Aar2	AAR2
Aars	AARS
Aars2	AARS2
Aarsd1	AARSD1
Aasdh	AASDH
Aasdhppt	AASDHPPT
Aass	AASS
Aatf	AATF
Aatk	AATK
Abat	ABAT
Abca1	ABCA1
Abca12	ABCA12
Abca2	ABCA2
Abca3	ABCA3
Abca17	ABCA3
Abca14	ABCA3
Abca15	ABCA3
Abca16	ABCA3
Abca4	ABCA4
Abca5	ABCA5
Abca7	ABCA7
Abcb10	ABCB10
Abcb11	ABCB11
Abcb6	ABCB6
Abcb7	ABCB7
Abcb8	ABCB8
Abcb9	ABCB9
Abcc1	ABCC1
Abcc2	ABCC2
Abcc3	ABCC3
Abcc4	ABCC4
Abcc5	ABCC5
Abcc9	ABCC9
Abcd2	ABCD2
Abcd3	ABCD3
Abcd4	ABCD4
Abcf2	ABCF2
Abcf3	ABCF3
Abcg1	ABCG1
Abcg3	ABCG2
Abcg2	ABCG2
Abcg4	ABCG4
Abcg5	ABCG5
Abcg8	ABCG8
Abhd10	ABHD10
Abhd11	ABHD11
Abhd12	ABHD12
Abhd12b	ABHD12B
Abhd13	ABHD13
Abhd14b	ABHD14B
Abhd17a	ABHD17A
Abhd17b	ABHD17B
Abhd17c	ABHD17C
Abhd18	ABHD18
Abhd2	ABHD2
Abhd3	ABHD3
Abhd5	ABHD5
Abhd6	ABHD6
Abhd8	ABHD8
Abi1	ABI1
Abi2	ABI2
Abi3	ABI3
Abi3bp	ABI3BP
Abl1	ABL1
Ablim1	ABLIM1
Ablim2	ABLIM2
Ablim3	ABLIM3
Abr	ABR
Abra	ABRA
Abracl	ABRACL
Abtb1	ABTB1
Gm22156	ACA64
Snora78	ACA64
Acaa1b	ACAA1
Acaa1a	ACAA1
Acaa2	ACAA2
Acaca	ACACA
Acacb	ACACB
Acad11	ACAD11
Acad8	ACAD8
Acad9	ACAD9
Acadl	ACADL
Acads	ACADS
Acadsb	ACADSB
Acan	ACAN
Acap3	ACAP3
Acat1	ACAT1
Acat3	ACAT2
Acat2	ACAT2
Acbd3	ACBD3
Acbd6	ACBD6
Acbd7	ACBD7
Ace2	ACE2
Acer1	ACER1
Acer2	ACER2
Acer3	ACER3
Ackr2	ACKR2
Ackr3	ACKR3
Ackr4	ACKR4
Acly	ACLY
Acmsd	ACMSD
Aco1	ACO1
Aco2	ACO2
Acot11	ACOT11
Acot12	ACOT12
Acot13	ACOT13
Acot7	ACOT7
Acot8	ACOT8
Acot9	ACOT9
Acot10	ACOT9
Acox1	ACOX1
Acox2	ACOX2
Acox3	ACOX3
Acp1	ACP1
Acp2	ACP2
Acp5	ACP5
Acp6	ACP6
Acr	ACR
Acsbg1	ACSBG1
Acsbg2	ACSBG2
1700061G19Rik	ACSBG2
Acsf2	ACSF2
Acsf3	ACSF3
Acsl1	ACSL1
Acsl3	ACSL3
Acsl4	ACSL4
Acsl5	ACSL5
Acsm3	ACSM3
Acss1	ACSS1
Acss2	ACSS2
Acss3	ACSS3
Actb	ACTB
Actg1	ACTG1
Acta1	ACTG2
Actl6a	ACTL6A
Actl6b	ACTL6B
Actl9	ACTL9
Actn1	ACTN1
Actn2	ACTN2
Actn4	ACTN4
Actr1a	ACTR1A
Actr2	ACTR2
Actr3	ACTR3
Actr5	ACTR5
Actr6	ACTR6
Actr8	ACTR8
Acvr1	ACVR1
Acvr1b	ACVR1B
Acvr1c	ACVR1C
Acvr2a	ACVR2A
Acvr2b	ACVR2B
Acvrl1	ACVRL1
Acyp1	ACYP1
Ada	ADA
Adad1	ADAD1
Adal	ADAL
Adam10	ADAM10
Adam11	ADAM11
Adam12	ADAM12
Adam17	ADAM17
Adam19	ADAM19
Adam22	ADAM22
Adam23	ADAM23
Adam33	ADAM33
Adam9	ADAM9
Adamdec1	ADAMDEC1
Adamts1	ADAMTS1
Adamts10	ADAMTS10
Adamts13	ADAMTS13
Adamts14	ADAMTS14
Adamts15	ADAMTS15
Adamts17	ADAMTS17
Adamts18	ADAMTS18
Adamts19	ADAMTS19
Adamts2	ADAMTS2
Adamts20	ADAMTS20
Adamts3	ADAMTS3
Adamts4	ADAMTS4
Adamts5	ADAMTS5
Adamts8	ADAMTS8
Adamts9	ADAMTS9
Adamtsl2	ADAMTSL2
Adamtsl3	ADAMTSL3
Adamtsl5	ADAMTSL5
Adap1	ADAP1
Adap2	ADAP2
Adarb1	ADARB1
Adat1	ADAT1
Adat2	ADAT2
Adck1	ADCK1
Gm42420	ADCK2
Adck2	ADCK2
Adcy1	ADCY1
Adcy2	ADCY2
Adcy3	ADCY3
Adcy5	ADCY5
Adcy7	ADCY7
Adcy8	ADCY8
Adcy9	ADCY9
Add1	ADD1
Add2	ADD2
Add3	ADD3
Adgb	ADGB
Adgra2	ADGRA2
Adgra3	ADGRA3
Adgrb1	ADGRB1
Adgrd1	ADGRD1
Adgrg1	ADGRG1
Adgrg2	ADGRG2
Adgrg3	ADGRG3
Adgrg5	ADGRG5
Adgrg6	ADGRG6
Adgrg7	ADGRG7
Adgrl2	ADGRL2
Adgrl3	ADGRL3
Adgrl4	ADGRL4
Adh5	ADH5
Adhfe1	ADHFE1
Adi1	ADI1
Adipoq	ADIPOQ
Adipor1	ADIPOR1
Adipor2	ADIPOR2
Adk	ADK
Adm	ADM
Adnp	ADNP
Adnp2	ADNP2
Adora1	ADORA1
Adora2a	ADORA2A
Adora2b	ADORA2B
Adora3	ADORA3
Adpgk	ADPGK
Adprh	ADPRH
