Gene name	Sheep gene name
Smad7	ENSOARG00000003809
mt-Nd1	ND1
mt-Nd2	ND2
mt-Co1	COX1
mt-Co2	COX2
mt-Atp8	ATP8
mt-Atp6	ATP6
mt-Co3	COX3
mt-Nd3	ND3
mt-Nd4l	ENSOARG00000005798
mt-Nd4l	ND4L
mt-Nd4	ND4
mt-Nd5	ND5
mt-Nd6	ND6
mt-Cytb	CYTB
Hyal4	HYAL4
Prps1l1	PRPS1L1
Vmn1r72	ENSOARG00000011410
Vmn1r72	VN1R1
Cyp7b1	CYP7B1
Wnt16	WNT16
Npas1	NPAS1
Zfy1	ZFX
Cldn11	CLDN11
Hdac2	HDAC2
Dnase1l2	DNASE1L2
Cdc42ep5	ENSOARG00000002560
Fam110c	
Ntsr2	NTSR2
Tpp2	TPP2
Eloc	ENSOARG00000006293
Ppp1r42	ENSOARG00000000178
Chadl	ENSOARG00000018130
Spam1	ENSOARG00000001193
Spam1	ENSOARG00000001347
Vmn1r73	ENSOARG00000011410
Vmn1r73	VN1R1
Bcl11a	BCL11A
Cep68	CEP68
L3mbtl2	L3MBTL2
3110035E14Rik	ENSOARG00000017570
Adhfe1	ADHFE1
Tcf24	TCF24
Impdh1	IMPDH1
Paqr8	PAQR8
Fam49a	FAM49A
Ppp1r14c	ENSOARG00000002948
Rnf215	RNF215
Pcdh18	PCDH18
Arhgap35	ARHGAP35
Hist1h4k	HIST1H4B
Ighv8-6	
Gemin6	GEMIN6
Iyd	IYD
Zswim7	ZSWIM7
Gm8300	
Ppp2cb	
Sertad1	SERTAD1
Ddx25	DDX25
Trav12d-3	ENSOARG00000002577
Trav12d-3	ENSOARG00000002549
Trav12d-3	ENSOARG00000016320
Trav12d-3	ENSOARG00000002589
Trav12d-3	ENSOARG00000000471
Olfr834	
Ascl1	ASCL1
G6pd2	G6PD
Dpy19l2	DPY19L2
Cd48	
Lcn2	LCN2
Prdm4	PRDM4
4930433I11Rik	C2orf78
Olfr478	OR5P2
Pigo	PIGO
Swap70	SWAP70
Pdcd5	ENSOARG00000004181
Pdcd5	ENSOARG00000005893
Pycr1	PYCR1
Ubxn8	UBXN8
Trim34b	
Fam19a1	FAM19A1
Gp1ba	
Ccdc157	CCDC157
Trav13d-2	ENSOARG00000019521
Trav13d-2	ENSOARG00000009953
Trav13d-2	ENSOARG00000002089
Trav13d-2	ENSOARG00000012009
Trav13d-2	ENSOARG00000010060
Dok6	DOK6
Spink5	SPINK5
Vps4a	ENSOARG00000003534
Ppm1k	PPM1K
Itga10	ITGA10
Map7d1	MAP7D1
Hecw2	HECW2
Tnni1	TNNI1
Mgat4b	MGAT4B
Myo1d	MYO1D
Hyal5	ENSOARG00000001193
Hyal5	ENSOARG00000001347
Ints12	INTS12
Rplp2	ENSOARG00000018174
AL773585.4	
Eml2	EML2
1700123L14Rik	NUP50
Mblac2	ENSOARG00000016254
Map3k14	MAP3K14
Kcnj11	
Vars2	VARS2
Smim20	ENSOARG00000008049
Tbc1d9	TBC1D9
Herc6	ENSOARG00000017796
Tigd5	TIGD5
Hrc	HRC
Ppib	PPIB
Gstcd	GSTCD
Dmkn	DMKN
Tmem229a	ENSOARG00000001134
Tmem60	TMEM60
Tfeb	TFEB
Ptprn2	ENSOARG00000007536
Fam3c	FAM3C
Gramd1b	GRAMD1B
Morc2a	MORC2
Tas2r125	
Pdf	PDF
Cdcp2	CDCP2
Zfp707	
Snx22	SNX22
Efhc1	EFHC1
Gadd45g	GADD45G
Ube2u	UBE2U
Cog8	ENSOARG00000003544
Wdr81	WDR81
Pex11b	PEX11B
Poldip2	POLDIP2
Stard3	STARD3
Majin	MAJIN
Dmp1	DMP1
Chd7	CHD7
Fam193a	FAM193A
Nup88	NUP88
CT571245.2	
Dhrs7	DHRS7
Ypel3	YPEL3
Slc7a14	SLC7A14
Ccdc60	CCDC60
Spen	SPEN
Arhgef33	ARHGEF33
Rnf167	RNF167
Kdm5d	
Rmdn1	RMDN1
Nr0b2	NR0B2
Prokr2	PROKR2
Tas2r129	
Pax6	PAX6
Prx	PRX
Gpr37	GPR37
Tas2r131	TAS2R42
Tas2r109	
Slc1a4	SLC1A4
Otud4	OTUD4
Gm42957	PEX11B
Tmprss15	TMPRSS15
Tas2r103	
Wwp1	ENSOARG00000012595
Wwp1	ENSOARG00000014701
Gsk3b	GSK3B
Fcrl1	FCRL1
Phf14	PHF14
Hist1h2ak	HIST1H3D
Spic	SPIC
Clec4n	
Bsg	BSG
Crlf2	CRLF2
Setd4	SETD4
Ccdc97	CCDC97
Zfp637	ZNF32
Ambra1	AMBRA1
Mmp24	MMP24
Kank4	KANK4
Tram2	TRAM2
Crisp1	CRISP3
Crisp1	CRISP2
Olfr231	OR6K6
Ifna7	ENSOARG00000010517
Ifna7	ENSOARG00000008754
Ifna7	ENSOARG00000014373
Arf6	ARF6
Zbtb17	ZBTB17
Pkp4	PKP4
Slc25a11	SLC25A11
Olfr835	
Mrpl32	MRPL32
BC029722	
Entpd4b	ENTPD4
Celf6	ENSOARG00000018919
Trdmt1	TRDMT1
F13b	F13B
Olfr424	OR6K3
Miox	MIOX
Olfr1261	
Ighv1-54	
Cetn3	CETN3
Srcin1	SRCIN1
Fam71b	FAM71B
Hk2	HK2
Ptbp3	PTBP3
Kctd6	KCTD6
Ibsp	IBSP
Ngrn	ENSOARG00000012136
Acmsd	ACMSD
Aldh1a2	ALDH1A2
Lias	LIAS
Exosc10	EXOSC10
Adgrg3	ADGRG3
Srp54a	SRP54
Cnot2	CNOT2
Map3k5	MAP3K5
Cyp4v3	CYP4V2
Mkln1	MKLN1
Ifna11	ENSOARG00000010517
Ifna11	ENSOARG00000008754
Ifna11	ENSOARG00000014373
Vps33b	VPS33B
Zfp775	ENSOARG00000001086
Ifna6	ENSOARG00000010517
Ifna6	ENSOARG00000008754
Ifna6	ENSOARG00000014373
Loxl2	LOXL2
Pfn1	ENSOARG00000005695
Pfn1	ENSOARG00000014409
Slamf1	SLAMF1
Repin1	REPIN1
Ifna5	ENSOARG00000010517
Ifna5	ENSOARG00000008754
Ifna5	ENSOARG00000014373
Gzmc	
Musk	MUSK
Gm45871	
Lrrcc1	LRRCC1
Klkb1	KLKB1
Tas2r135	TAS2R60
Fsd2	FSD2
Ikbke	IKBKE
Anks1	ANKS1A
Dbnl	DBNL
Rabl6	RABL6
Hist1h2ba	HIST1H2BA
Snx1	SNX1
Esrrb	ESRRB
Dctn5	ENSOARG00000002604
Dctn5	ENSOARG00000017281
Zmiz2	ZMIZ2
Hist1h1b	
Ssr2	SSR2
Psma2	ENSOARG00000017342
Tmem119	TMEM119
Tmem144	TMEM144
Smim26	SMIM26
Il12a	IL12A
Tgif2lx2	
Thbs1	THBS1
Ano2	ANO2
Tgif2lx1	
Fbxo10	FBXO10
Olfr779	OR6C6
Dtd1	ENSOARG00000008711
Dtd1	ENSOARG00000001119
Adora2a	ENSOARG00000014207
Trhde	TRHDE
Brs3	BRS3
Gabrq	GABRQ
H13	HM13
Pura	ENSOARG00000013578
Pth2r	PTH2R
Mepe	MEPE
AW209491	C7orf25
Tbl1x	ENSOARG00000009866
Hhipl2	HHIPL2
Selenop	ENSOARG00000008775
Ppp2r5b	PPP2R5B
Tas2r126	TAS2R41
Med7	ENSOARG00000011033
Hist1h2aa	
Sh3bp4	SH3BP4
Kars	KARS
H1fx	H1FX
Ces2e	CES2
Tmem141	TMEM141
Rab7	RAB7A
Spata31d1a	ENSOARG00000012277
Scgn	SCGN
Elavl4	ELAVL4
Eif3j1	EIF3J
Fam159b	FAM159B
Fut8	FUT8
Igip	IGIP
Ccdc166	ENSOARG00000016506
Nlrp12	NLRP12
Dmrtc1a	ENSOARG00000017603
Olfr836	
Cystm1	
Polr1e	POLR1E
Rsbn1l	RSBN1L
Dcaf15	DCAF15
Adck5	ADCK5
Abcc5	ABCC5
Cirbp	ENSOARG00000011412
Fbln1	FBLN1
Spg11	SPG11
Cep295	CEP295
Gpha2	GPHA2
Htatsf1	ENSOARG00000011215
Htatsf1	ENSOARG00000000481
Col4a3bp	COL4A3BP
Arhgef1	ARHGEF1
Entpd1	ENTPD1
Gsr	ENSOARG00000010451
Gsr	ENSOARG00000019966
Rabep1	RABEP1
Stk36	STK36
Hipk4	HIPK4
Vps16	VPS16
Stxbp5	STXBP5
Arl5b	ARL5B
Olfr780	OR6C68
Mapk15	ENSOARG00000016483
Tram1l1	TRAM1L1
Plekhg1	PLEKHG1
Adgrl2	ADGRL2
Vsig4	VSIG4
Snx10	ENSOARG00000004904
Snx10	ENSOARG00000010012
Gm4884	C2orf78
Olfr420	OR6K2
Gucy1a2	GUCY1A2
Sp6	
Oog1	ENSOARG00000011511
Oog1	ENSOARG00000011390
Oog1	ENSOARG00000011178
Oog1	ENSOARG00000011567
Oog1	ENSOARG00000011153
Oog1	ENSOARG00000011458
Oog1	ENSOARG00000011487
Oog1	ENSOARG00000003584
Oog1	ENSOARG00000011209
Oog1	ENSOARG00000011126
Oog1	ENSOARG00000011338
Oog1	ENSOARG00000011025
Oog1	ENSOARG00000011576
Oog1	ENSOARG00000003461
Oog1	ENSOARG00000010975
Oog1	ENSOARG00000011039
Oog1	ENSOARG00000011419
Ccdc183	CCDC183
Olfr782	OR6C6
Stam2	STAM2
D11Wsu47e	C17orf80
Cd84	CD84
Eci2	ECI2
Atp5g3	ATP5G3
Nsun6	NSUN6
Serf1	ENSOARG00000008562
Fam19a4	FAM19A4
Ces2f	CES2
Myadml2	MYADML2
Acat1	ACAT1
Dscaml1	DSCAML1
Lamb1	LAMB1
Notum	NOTUM
Pip5k1a	PIP5K1A
Agk	AGK
Hdac5	HDAC5
Ifna1	ENSOARG00000010517
Ifna1	ENSOARG00000008754
Ifna1	ENSOARG00000014373
Olfr480	
Gcom1	GCOM1
Myzap	GCOM1
Tbx6	TBX6
Pced1a	PCED1A
Tlcd2	TLCD2
Trpc7	TRPC7
Slc2a6	SLC2A6
Podnl1	PODNL1
Fam198b	FAM198B
Gm1661	C1orf228
Fam83c	FAM83C
Lsm2	LSM2
Ccdc169	CCDC169
Hsp90aa1	HSP90AA1
Ehd3	EHD3
Arap2	ARAP2
Pigl	PIGL
Snx13	SNX13
Afap1l2	AFAP1L2
Gbp3	ENSOARG00000015153
Gbp3	ENSOARG00000001535
Pot1a	POT1
Sema3d	SEMA3D
Taf1d	TAF1D
Ubr1	UBR1
Eif6	EIF6
Tcap	TCAP
Magi3	MAGI3
Polr2m	
Ttc19	TTC19
Armc1	ARMC1
Lsm3	LSM3
Tmem53	TMEM53
Plekhm1	PLEKHM1
Maml1	MAML1
Fadd	FADD
Zdhhc21	ZDHHC21
Smim14	SMIM14
Celf1	CELF1
Hspbp1	HSPBP1
Scrn2	SCRN2
Ltc4s	ENSOARG00000003078
Spata31d1b	ENSOARG00000012277
Pprc1	PPRC1
Ptpn12	PTPN12
Nrk	NRK
Arhgap27	ENSOARG00000010472
Greb1	GREB1
Serpina10	SERPINA10
Hist1h2an	ENSOARG00000005229
Kif17	KIF17
Gbp2b	ENSOARG00000001588
Gbp2b	ENSOARG00000002372
Serinc1	SERINC1
Tmem59	TMEM59
Ncor1	NCOR1
Ugdh	UGDH
Spata31d1d	ENSOARG00000012277
Olfr786	OR6C1
Pld3	PLD3
Ighv1-56	
Fmn1	FMN1
Vmn1r74	ENSOARG00000011410
Vmn1r74	VN1R1
Pfn4	PFN4
Bod1	ENSOARG00000004192
Bod1	ENSOARG00000009102
Eea1	EEA1
Gbp7	ENSOARG00000015153
Gbp7	ENSOARG00000001535
Atp4b	
Sfi1	SFI1
Emc7	EMC7
Pah	PAH
Spast	SPAST
Sh2d5	SH2D5
Acsm1	ACSM1
Fam228b	ENSOARG00000017832
Fam149b	FAM149B1
Mcts2	MCTS1
4931406C07Rik	C11orf54
Tdp1	TDP1
Marcks	ENSOARG00000009527
Upb1	UPB1
Klf13	ENSOARG00000016409
Cep57l1	CEP57L1
Zfp691	ZNF691
Gbp5	GBP5
Arpp19	ENSOARG00000018601
Arpp19	ENSOARG00000001431
Rtl10	ENSOARG00000017828
Ppip5k2	PPIP5K2
Ldb1	LDB1
Gnb1l	ENSOARG00000007477
Gnb1l	ENSOARG00000017822
Arl1	ARL1
Sertad2	ENSOARG00000019536
Hspb8	HSPB8
Ccar1	CCAR1
Phtf1	PHTF1
Hnrnpul1	
Scp2d1	SCP2D1
Zfp239	ZNF239
Spta1	SPTA1
Rgs7bp	RGS7BP
Caly	CALY
Tarsl2	TARSL2
Nup205	NUP205
Blzf1	BLZF1
Ces2g	CES2
Tceanc2	TCEANC2
Gucd1	GUCD1
Sos2	SOS2
Nfkb1	NFKB1
Cdh9	CDH9
Olfr1263	
Cnnm4	CNNM4
Srrm4	SRRM4
BB287469	
Olfr1006	
Hmbox1	HMBOX1
Aasdhppt	AASDHPPT
AC211878.11	UBL5
Selplg	
Cfhr1	ENSOARG00000014405
Blvra	ENSOARG00000016920
Blvra	ENSOARG00000005104
Gm21319	
