genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/Sheep_Ovis_aries_Oar_v3.1/oa3.ens90.P2000M.gtf none -d mic_sheep1.M mic_sheep2.M mic_sheep3.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	mic_sheep1.M (1263768.0 total)	mic_sheep2.M (2196952.0 total)	mic_sheep3.M (3022681.0 total)
ENSOARG00000022332	ENSOART00000024234	chr3	189684607	189684691	+	84.0	1	0.000	0.000	0.000	0.000
ENSOARG00000022877	ENSOART00000024779	chr3	185919062	185919141	-	79.0	1	0.000	0.000	0.000	0.000
ENSOARG00000021149	ENSOART00000023045	chr7	73424270	73455214	-	1760.0	1	0.000	0.000	0.000	0.000
UBQLN4	ENSOART00000005755	chr1	104643819	104657533	-	3652.0	1	0.000	71.000	103.000	174.000
ENSOARG00000014796	ENSOART00000016103	chr5	44610477	44614820	+	834.0	1	0.000	0.000	0.000	0.000
CARMIL1	ENSOART00000004283	chr20	31186499	31494237	-	6191.0	1	0.000	0.000	0.000	2.000
EXOSC3	ENSOART00000012375	chr2	50676008	50682625	+	2821.0	1	0.000	34.000	108.000	134.000
ENSOARG00000002759	ENSOART00000002988	chrUn_AMGL01127303	63	2980	-	2062.0	1	0.000	0.000	0.000	0.000
TAB2	ENSOART00000002792	chr8	73468896	73510892	+	4160.0	1	0.000	81.000	169.000	170.000
USP14	ENSOART00000009884	chr23	35461828	35493514	+	3955.0	1	0.000	14.000	35.000	53.000
ENSOARG00000026876	ENSOART00000028918	chr20	33245673	33260259	+	2361.0	1	0.000	0.000	0.000	0.000
ENSOARG00000007373	ENSOART00000008028	chr3	81327580	81427261	-	1626.0	1	0.000	0.000	1.000	1.000
KLHL24	ENSOART00000022495	chr1	201666544	201698776	-	7916.0	1	0.000	83.000	293.000	217.000
CDK16	ENSOART00000014663	chrX	54166014	54173336	-	3691.0	1	0.000	92.000	108.000	197.000
ABCG1	ENSOART00000011566	chr1	260557063	260624649	+	4077.0	1	0.000	8.000	14.000	58.000
ENSOARG00000017469	ENSOART00000019015	chr4	42043121	42045614	-	2447.0	1	0.000	0.000	0.000	0.000
ANO9	ENSOART00000008336	chr21	49626481	49644497	+	4290.0	1	0.000	0.000	0.000	0.000
ENSOARG00000016286	ENSOART00000017736	chr21	36714148	36726784	+	2452.0	1	0.000	0.000	0.000	0.000
AMMECR1	ENSOART00000019442	chrX	118143636	118259104	+	2973.0	1	0.000	0.000	5.000	7.000
ENSOARG00000002078	ENSOART00000002232	chrUn_AMGL01125066	21	3748	-	1912.0	1	0.000	0.000	0.000	0.000
ENSOARG00000007043	ENSOART00000007661	chr5	37675743	37676816	+	876.0	1	0.000	0.000	0.000	0.000
ENSOARG00000008522	ENSOART00000009270	chr11	54657092	54671319	-	2361.0	1	0.000	52.000	98.000	131.000
ENSOARG00000025225	ENSOART00000027129	chr4	29529431	29535300	+	2604.0	1	0.000	0.000	0.000	0.000
ENSOARG00000013321	ENSOART00000014488	chr13	64318446	64319800	-	834.0	1	0.000	0.000	0.000	0.000
ENSOARG00000017255	ENSOART00000018781	chr20	28805062	28808080	+	2666.0	1	0.000	0.000	0.000	0.000
HOXB7	ENSOART00000007506	chr11	37428842	37433232	+	2651.0	1	0.000	4.000	16.000	11.000
ENSOARG00000013775	ENSOART00000014985	chr2	76639316	76640100	+	679.0	1	0.000	139.000	263.000	275.000
TNFSF13B	ENSOART00000006117	chr10	83001147	83032605	+	2846.0	1	0.000	22.000	96.000	125.000
NCR3	ENSOART00000008792	chr20	26842084	26846306	+	2536.0	1	0.000	6.000	7.000	14.000
ENSOARG00000001578	ENSOART00000001694	chrUn_JH922049	14183	19512	+	4260.0	1	0.000	0.000	0.000	0.000
ZNF638	ENSOART00000012381	chr3	93106447	93244688	+	8960.0	1	0.000	148.000	232.000	258.000
HERC4	ENSOART00000005279	chr25	24257747	24385191	-	5206.0	1	0.000	16.000	33.000	26.000
CCDC28A	ENSOART00000000902	chr8	63577564	63590210	+	2546.0	1	0.000	19.000	85.000	65.000
CHTF8	ENSOART00000003795	chr14	35670291	35673365	-	2412.0	1	0.000	2.000	2.000	3.000
FAM193B	ENSOART00000006213	chr5	36493793	36518206	-	4567.0	1	0.000	28.000	33.000	50.000
ZNF583	ENSOART00000003595	chr14	60649895	60665034	-	3762.0	1	0.000	7.000	22.000	18.000
ENSOARG00000025421	ENSOART00000027339	chr12	7093615	7126525	+	1297.0	1	0.000	0.000	0.000	0.000
ENSOARG00000019025	ENSOART00000020711	chrUn_JH923148	32059	33220	-	1009.0	1	0.000	0.000	0.000	0.000
PRKACB	ENSOART00000015034	chr1	60553151	60615789	+	3001.0	1	0.000	8.000	15.000	23.000
ENSOARG00000025349	ENSOART00000027265	chrX	12652949	12656987	+	3879.0	1	0.000	0.000	0.000	0.000
APOA5	ENSOART00000002410	chr15	26928074	26931848	-	3061.0	1	0.000	0.000	0.000	0.000
KIAA1211L	ENSOART00000014668	chr3	102274812	102345301	+	4692.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026286	ENSOART00000028286	chr10	14978150	14989607	-	2371.0	1	0.000	0.000	0.000	0.000
FGF13	ENSOART00000011606	chrX	91574023	91645394	+	2729.0	1	0.000	0.000	0.000	0.000
ADAM2	ENSOART00000002267	chr26	33172931	33293614	-	4217.0	1	0.000	0.000	0.000	0.000
JDP2	ENSOART00000001932	chr7	83532012	83571327	+	2685.0	1	0.000	20.000	37.000	52.000
RPP21	ENSOART00000013958	chr20	27460680	27464322	+	2531.0	1	0.000	9.000	10.000	8.000
ENSOARG00000019608	ENSOART00000021352	chr2	126080991	126081773	-	782.0	1	0.000	6.000	16.000	25.000
