Gene name	Rat gene name
mt-Atp6	Mt-atp6
Cphx2	AABR07024534.1
Zscan25	Zscan25
mt-Nd5	Mt-nd5
Gpc6	Gpc6
Kifc5b	Kifc1
mt-Nd3	Mt-nd3
Cphx1	AABR07024534.1
Cdc16	Cdc16
BC005624	RGD1305178
mt-Nd2	Mt-nd2
Entr1	Entr1
Duxbl2	Dux4
Duxbl1	Dux4
Sult1c2	Sult1c2a
Sult1c2	LOC100910057
Sult1c2	RGD1562392
Sult1c2	Sult1c2
Sult1c2	LOC100910526
Rnf39	Rnf39
Rab24	Mxd3
mt-Atp8	Mt-atp8
Kifc1	Kifc1
mt-Co2	Mt-co2
mt-Co1	Mt-co1
Tab1	Tab1
Dnlz	Dnlz
mt-Nd4l	Mt-nd4l
mt-Nd6	Mt-nd6
Nrk	Nrk
mt-Nd1	Mt-nd1
Tmem130	Tmem130
mt-Nd4	Mt-nd4
Gpr180	Gpr180
Ccdc83	Ccdc83
Ankrd36	AC136588.3
Rffl	Rffl
Zfp951	LOC102554913
Adam11	Adam11
mt-Cytb	Mt-cyb
Zfp97	LOC102554913
Ppp1r11	Ppp1r11
Zfp960	LOC102554913
Tnn	Tnn
Duxbl3	Dux4
Cphx3	AABR07024534.1
Grm8	Grm8
Lig3	Lig3
Hps1	Hps1
Mcidas	Mcidas
Phf1	Phf1
Fbxo36	Fbxo36
Cnksr3	Cnksr3
Rpe	Rpe
Ccdc92b	Ccdc92b
Tor1a	Tor1a
mt-Co3	Mt-co3
Lancl1	Lancl1
Prelid1	Prelid1
Yipf6	Yipf6
Neurl1a	Neurl1
Arl5a	Arl5a
Pifo	Pifo
Art2b	Art2b
Sult1c2	RGD1559960
Cluh	Cluh
Inppl1	Inppl1
Cldn2	Cldn2
Alg13	LOC108349244
Rmdn2	Rmdn2
Morc4	Morc4
Cfap58	Cfap58
Anxa11	Anxa11
Ncl	Ncl
Smco1	Smco1
Gjc1	Gjc1
Gnl1	Gnl1
Cps1	Cps1
Cyp1b1	Cyp1b1
Usp20	Usp20
Nadk2	Nadk2
Serpina7	Serpina7
Stard8	Stard8
Tlk1	LOC103690017
Cldn10	Cldn10
Mgat3	Mgat3
Gsto1	Gsto1
Tmem254b	Tmem254
Gsto2	Gsto2
Cuta	Cuta
Muc13	Muc13
Barx1	Barx1
Mief1	Mief1
Ranbp3l	AABR07008439.1
Glt28d2	LOC108349244
Sema4d	Sema4d
Mettl8	AABR07052486.1
Gbe1	Gbe1
Spp1	Spp1
Adgre4	Adgre4
Nptx2	Nptx2
Gtf2i	Gtf2i
Syngap1	Syngap1
1700024G13Rik	LOC680885
Arid1b	Arid1b
Abcg3	Abcg3l1
Trim31	Trim31
Marf1	LOC103689943
Plac9a	Plac9
4930453N24Rik	MGC95208
Zfp800	Zfp800
Tmem254a	Tmem254
Art2a-ps	Art2b
Gnb1l	Gnb1l
Robo2	Robo2
Mrps14	Mrps14
Plac9b	Plac9
Gm9780	Plac9
Tmem254c	Tmem254
Upf3a	Upf3a
Mup11	AABR07048475.1
Mup11	AABR07048487.2
Sept6	Sept6
Dnajc3	Dnajc3
Eftud2	Eftud2
Mup9	AABR07048475.1
Mup9	AABR07048487.2
Slc25a5	Slc25a5
Mup3	AABR07048475.1
Mup3	AABR07048487.2
Grtp1	AABR07026536.1
Grtp1	Grtp1
Mup15	AABR07048475.1
Mup15	AABR07048487.2
Pja1	Pja1
Rufy4	Rufy4
Rpl39	Rpl39
Ablim1	AABR07007032.1
Olfr109	Olr1868
Ube2a	Ube2a
Mup12	AABR07048475.1
Mup12	AABR07048487.2
Plek	Plek
Sema4c	Sema4c
Eda	Eda
Mup10	AABR07048475.1
Mup10	AABR07048487.2
Mup14	AABR07048475.1
Mup14	AABR07048487.2
Mup2	AABR07048475.1
Mup2	AABR07048487.2
Mup4	AABR07048475.1
Mup4	AABR07048487.2
Abl1	Abl1
Wnk3	Wnk3
Ip6k3	Ip6k3
Efnb1	Efnb1
Qrfp	NEWGENE_735020
Mup6	AABR07048475.1
Mup6	AABR07048487.2
Mup13	AABR07048475.1
Mup13	AABR07048487.2
Ccdc115	Ccdc115
Ggnbp1	Ggnbp1
Akr1b3	Akr1b1
Bak1	Bak1
Afap1l2	Afap1l2
Nkrf	Nkrf
Dzip1	Dzip1
Parn	Parn
Eif4e2	Eif4e2
Rabgap1l	Rabgap1l
Rhog	Rhog
Gsto2	LOC103690044
Imp4	Imp4
Gm21320	AABR07048475.1
Gm21320	AABR07048487.2
Pgap2	Pgap2
Trim10	Trim10
Mup17	AABR07048475.1
Mup17	AABR07048487.2
Iars	Iars
Efhd1	Efhd1
